id,screen_name,democrat,republican
2962813893,RepStefanik,5,112
1058256326,RepChrisCollins,13,115
17494010,SenSchumer,128,12
2955485182,SenatorRounds,8,107
339852137,SupJaniceHahn,-1,-1
90484508,GovChristie,22,131
248699486,RepJeffDenham,10,108
16583468,RepMikeHonda,6,100
235312723,DesJarlaisTN04,101,1
607332953,WVGovernor,2,103
21406834,SenMarkey,107,9
194233791,GovMaryFallin,-1,-1
134249298,byronNME,-1,-1
21157904,SenatorBurr,5,110
2964526557,RepAlexMooney,7,114
1069124515,RepLaMalfa,101,1
23593446,davidcicilline,119,9
124224165,RepFredUpton,5,111
16789970,SenatorReid,118,19
231510077,JoaquinCastrotx,-1,-1
237348797,TGowdySC,3,113
1045853744,RepLukeMesser,3,111
1071840474,RepSchneider,8,105
234822928,RepBobGibbs,5,104
818460870573441028,Rep_Tom_Garrett,1,106
995193054,RepDelBene,107,5
19929362,RepJoeBarton,13,118
15985455,GovPenceIN,0,0
234797704,AustinScottGA08,2,105
248850174,RepMeehan,6,111
231592153,PhilBryantMS,5,109
975200486,RepThomasMassie,2,105
2975350155,RepMarkTakai,-1,-1
1074101017,SusanWBrooks,4,108
516880804,BettyMcCollum04,110,2
818472418620608512,RepAlLawsonJr,-1,-1
6577802,RepTomPrice,12,129
29201047,SenJeffMerkley,115,5
213795411,GovWalker,119,30
33537967,amyklobuchar,110,3
1058807868,RepDeSantis,4,112
18023868,MassGovernor,0,0
2863006655,RepLawrence,119,5
384913290,RepJohnYarmuth,106,6
198526130,RepJoePitts,5,109
834069080,RepDavidRouzer,1,111
479872233,RepRoybalAllard,5,100
109287731,SenatorShaheen,111,9
155669457,RepDavidEPrice,-1,-1
37666984,nikkihaley,5,117
2974648323,SteveKnight25,-1,-1
266133081,SenDeanHeller,5,110
236916916,RepJimRenacci,-1,-1
38254095,DorisMatsui,5,100
19726613,SenatorCollins,12,150
18166778,Jim_Jordan,6,114
216481299,GovMarkDayton,111,10
31801993,FrankPallone,110,8
19028248,DavidVitter,30,130
235217558,SenCoryGardner,4,117
2962923040,SenSasse,3,108
824281456079933442,RepBecerra,108,3
24745957,RepHankJohnson,115,4
15856366,LamarSmithTX21,4,108
117839957,hickforco,112,5
1060487274,RepDougCollins,1,105
29766367,RepSamGraves,-1,-1
221162525,SenToomey,8,115
240427862,RepMcKinley,5,111
153486399,RepMarciaFudge,105,3
819744763020775425,RepJenniffer,-1,-1
2916086925,RepAdams,112,8
236899846,RepRichardHanna,104,15
1051127714,RepGraceMeng,107,1
235271965,RepStevePearce,7,114
1074518754,SenatorBaldwin,110,7
15394954,boblatta,3,104
248735463,RepBarbaraLee,109,3
2303719598,GovMattMead,3,114
1128781184,RepMurphyFL,103,4
2861616083,USRepGaryPalmer,1,105
20552026,RepPerlmutter,108,9
41533245,aguilarpete,107,7
1061292174,RepJeffMiller,2,106
933261786,PeacockPanache,0,0
432771620,RepSusanDavis,105,2
2966570782,RepRubenGallego,3,101
2847221717,RepRatcliffe,2,107
78445977,GerryConnolly,106,5
1243902714,JuliaBrownley26,-1,-1
40302336,RepJerryNadler,105,3
15361570,jaredpolis,111,2
234141596,GovMalloyOffice,119,8
115676070,collinpeterson,114,17
2433737761,RepHastingsFL,112,3
818536152588238849,RepGonzalez,-1,-1
16056306,JeffFlake,9,116
34340464,RandyNeugebauer,6,112
14845376,GrahamBlog,0,0
1404269089,MattBevin,18,132
13218102,JohnCornyn,8,118
48086014,chakafattah,116,3
960962340,RepAndyHarrisMD,7,114
14275291,RosLehtinen,2,116
233949261,RepHuizenga,3,109
1155335864,RepDonaldPayne,110,1
24735461,PeteSessions,7,117
18909919,JimLangevin,102,4
2696643955,RepMoolenaar,100,4
20597460,SenBillNelson,0,0
39525554,GovernorBentley,4,117
234014087,RepWilson,3,100
56864092,RepMikeQuigley,109,5
